,alpha,solver,tolerance,score
240,1.0,cholesky,0.001,0.004423469376491152
241,1.0,cholesky,0.001,0.004471915318552528
242,1.0,cholesky,0.001,0.0008584106888005572
243,1.0,cholesky,0.001,0.0014373771444544563
244,1.0,cholesky,0.001,0.00379235456930353
245,1.0,cholesky,0.01,0.004423469376491152
246,1.0,cholesky,0.01,0.004471915318552528
247,1.0,cholesky,0.01,0.0008584106888005572
248,1.0,cholesky,0.01,0.0014373771444544563
249,1.0,cholesky,0.01,0.00379235456930353
250,1.0,lsqr,1e-06,0.0044234693764903165
251,1.0,lsqr,1e-06,0.004471915318555387
252,1.0,lsqr,1e-06,0.0008584106888167246
253,1.0,lsqr,1e-06,0.0014373771444552523
254,1.0,lsqr,1e-06,0.0037923545693191027
255,1.0,lsqr,1e-05,0.0044234693764903165
256,1.0,lsqr,1e-05,0.004471915318555387
257,1.0,lsqr,1e-05,0.0008584106888167246
258,1.0,lsqr,1e-05,0.0014373771444552523
259,1.0,lsqr,1e-05,0.0037923545693191027
260,1.0,lsqr,0.0001,0.0044234693764903165
261,1.0,lsqr,0.0001,0.004471915318555387
262,1.0,lsqr,0.0001,0.0008584106888167246
263,1.0,lsqr,0.0001,0.0014373771444552523
264,1.0,lsqr,0.0001,0.0037923545693191027
265,1.0,lsqr,0.001,0.0044234693764903165
266,1.0,lsqr,0.001,0.004471915318555387
267,1.0,lsqr,0.001,0.0008584106888167246
268,1.0,lsqr,0.001,0.0014373771444552523
269,1.0,lsqr,0.001,0.0037923545693191027
270,1.0,lsqr,0.01,0.00275282984049256
271,1.0,lsqr,0.01,0.007382507490963062
272,1.0,lsqr,0.01,0.0007206682470740018
273,1.0,lsqr,0.01,0.0037303252262376723
274,1.0,lsqr,0.01,0.0038069857597576337
275,1.0,sparse_cg,1e-06,0.004423469376492833
276,1.0,sparse_cg,1e-06,0.00447191531858036
277,1.0,sparse_cg,1e-06,0.0008584106887977184
278,1.0,sparse_cg,1e-06,0.0014373771444557025
279,1.0,sparse_cg,1e-06,0.003792354569312702
280,1.0,sparse_cg,1e-05,0.004423469376492833
281,1.0,sparse_cg,1e-05,0.00447191531858036
282,1.0,sparse_cg,1e-05,0.0008584106887977184
283,1.0,sparse_cg,1e-05,0.0014373771444557025
284,1.0,sparse_cg,1e-05,0.003792354569312702
285,1.0,sparse_cg,0.0001,0.004423469376492833
286,1.0,sparse_cg,0.0001,0.00447191531858036
287,1.0,sparse_cg,0.0001,0.0008584106887977184
288,1.0,sparse_cg,0.0001,0.0014373771444557025
289,1.0,sparse_cg,0.0001,0.003792354569312702
290,1.0,sparse_cg,0.001,0.004423469376492833
291,1.0,sparse_cg,0.001,0.00447191531858036
292,1.0,sparse_cg,0.001,0.0008584106887977184
293,1.0,sparse_cg,0.001,0.0014373771444557025
294,1.0,sparse_cg,0.001,0.003792354569312702
295,1.0,sparse_cg,0.01,0.0027528298404925597
296,1.0,sparse_cg,0.01,0.0073825074909630636
297,1.0,sparse_cg,0.01,0.0007206682470740019
298,1.0,sparse_cg,0.01,0.003730325226237672
299,1.0,sparse_cg,0.01,0.0038069857597576315
300,1.0,sag,1e-06,0.0026966620767526826
301,1.0,sag,1e-06,0.006752853878402846
302,1.0,sag,1e-06,0.0005897154466078142
303,1.0,sag,1e-06,0.003189750862170386
304,1.0,sag,1e-06,0.0037646282092642096
305,1.0,sag,1e-05,0.002696571735921871
306,1.0,sag,1e-05,0.0067525790135887324
307,1.0,sag,1e-05,0.0005897633483554761
308,1.0,sag,1e-05,0.00319022324853568
309,1.0,sag,1e-05,0.0037643967889806665
310,1.0,sag,0.0001,0.0026966063790555754
311,1.0,sag,0.0001,0.006752654438607679
312,1.0,sag,0.0001,0.0005897472535040905
313,1.0,sag,0.0001,0.003190083314335221
